                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0029,                0.41362,                 1.0171,                 0.9919,                0.98305,                0.99354,                0.72967,                 1.0635,                0.36887,                 1.0304,               0.003268,               0.003268,               0.003268
                     36,                 1.0021,                0.41029,                 1.0152,                0.99714,                0.98486,                0.99478,                0.73212,                 1.0499,                0.36056,                  1.029,                0.00307,                0.00307,                0.00307
                     37,                 1.0055,                0.40825,                 1.0192,                0.99149,                0.98399,                0.99439,                0.72992,                 1.0464,                0.35909,                 1.0319,               0.002872,               0.002872,               0.002872
                     38,                 0.9975,                0.40467,                 1.0161,                 0.9943,                0.98554,                0.99457,                  0.731,                 1.0384,                0.35463,                 1.0247,               0.002674,               0.002674,               0.002674
                     39,                 0.9946,                0.40125,                  1.012,                0.98946,                 0.9887,                0.99447,                0.72571,                 1.0506,                0.36056,                 1.0328,               0.002476,               0.002476,               0.002476
                     40,                0.98975,                0.36973,                 1.0334,                0.98951,                 0.9887,                0.99447,                0.73199,                 1.0436,                0.36136,                 1.0295,               0.002278,               0.002278,               0.002278
                     41,                0.98911,                0.37077,                 1.0333,                0.99491,                0.98588,                0.99483,                0.73832,                 1.0339,                 0.3655,                 1.0259,                0.00208,                0.00208,                0.00208
                     42,                0.98581,                0.36716,                 1.0318,                0.99462,                0.98493,                0.99433,                0.73309,                 1.0374,                0.35601,                 1.0322,               0.001882,               0.001882,               0.001882
                     43,                0.97946,                0.35852,                 1.0263,                0.99435,                0.98399,                0.99452,                 0.7318,                 1.0326,                0.35124,                 1.0262,               0.001684,               0.001684,               0.001684
                     44,                0.97282,                0.35246,                 1.0242,                0.99538,                0.98399,                0.99417,                0.73803,                 1.0311,                0.34862,                 1.0246,               0.001486,               0.001486,               0.001486
                     45,                0.97262,                0.35064,                 1.0277,                0.99335,                 0.9851,                0.99432,                0.73408,                 1.0333,                0.34903,                 1.0236,               0.001288,               0.001288,               0.001288
                     46,                0.96114,                0.34504,                 1.0222,                0.99442,                0.98493,                0.99315,                0.73361,                 1.0383,                0.35146,                 1.0298,                0.00109,                0.00109,                0.00109
                     47,                0.96076,                0.34132,                 1.0199,                0.99431,                0.98757,                0.99418,                0.73543,                 1.0356,                0.34688,                 1.0252,               0.000892,               0.000892,               0.000892
                     48,                0.95201,                0.33623,                 1.0177,                0.99337,                0.98765,                0.99438,                0.73214,                 1.0381,                0.34723,                 1.0294,               0.000694,               0.000694,               0.000694
                     49,                0.94888,                0.33165,                 1.0165,                 0.9943,                0.98521,                 0.9934,                0.73307,                  1.038,                0.34709,                 1.0252,               0.000496,               0.000496,               0.000496
